changed_files,owner_account_id,status,number,min_num_mod_file_dep_cha,max_num_mod_file_dep_cha,median_num_mod_file_dep_cha,mean_num_mod_file_dep_cha,num_mod_file_dep_cha
['test-requirements.txt'],11131,MERGED,440740,0,0,0.0,0.0,0
"['releasenotes/notes/fix_autodelete_for_quorum_queues-e001f2d8d8ae780b.yaml', 'networking_baremetal/agent/ironic_neutron_agent.py']",32553,MERGED,911611,0,3,1.5,1.5,1
['elements/yum-minimal/root.d/08-yum-chroot'],7118,MERGED,278860,2,2,2.0,2.0,1
"['devmode.sh', 'ci-scripts/full-deploy-ovb.sh']",8652,MERGED,452249,0,2,1.0,1.0,1
['doc/config-reference/source/compute/hypervisor-hyper-v.rst'],10827,MERGED,280339,0,0,0.0,0.0,0
['networking_onos/plugins/ml2/driver.py'],25575,MERGED,566201,0,0,0.0,0.0,0
['magnum/common/config.py'],9414,ABANDONED,395438,0,0,0.0,0.0,0
"['ironic/db/sqlalchemy/api.py', 'ironic/tests/api/test_chassis.py', 'ironic/tests/api/test_ports.py', 'ironic/common/utils.py']",8106,MERGED,58430,0,0,0.0,0.0,0
"['ceilometerclient/shell.py', 'ceilometerclient/v2/shell.py', 'ceilometerclient/tests/v2/test_shell.py']",2284,MERGED,68637,0,0,0.0,0.0,0
"['deployment/ceph-ansible/ceph-nfs.yaml', 'environments/manila-cephfsganesha-config.yaml']",16643,MERGED,831269,3,4,3.5,3.5,2
"['api-ref/source/v3/samples/services-enable-response.json', 'api-ref/source/v3/index.rst', 'api-ref/source/v3/samples/services-disable-log-request.json', 'api-ref/source/v3/samples/services-list-response.json', 'api-ref/source/v3/samples/services-disable-response.json', 'api-ref/source/v3/samples/services-disable-request.json', 'api-ref/source/v3/samples/services-disable-log-response.json', 'api-ref/source/v3/parameters.yaml', 'api-ref/source/v3/os-services.inc', 'api-ref/source/v3/samples/services-enable-request.json']",22299,MERGED,478789,0,1,0.0,0.2,2
['roles/oooci-build-images/tasks/pre.yaml'],12393,ABANDONED,696885,1,1,1.0,1.0,1
['swift/container/sharder.py'],15343,MERGED,508635,0,0,0.0,0.0,0
['deliverables/wallaby/openstack-ansible.yaml'],28619,MERGED,865583,0,0,0.0,0.0,0
['horizon/static/horizon/js/horizon.forms.js'],11778,MERGED,359957,2,2,2.0,2.0,1
"['test-requirements.txt', 'tox.ini']",935,ABANDONED,296296,0,0,0.0,0.0,0
['setup.cfg'],32029,MERGED,795937,0,0,0.0,0.0,0
['tempest/api/telemetry/test_telemetry_notification_api.py'],6962,ABANDONED,104516,0,0,0.0,0.0,0
['horizon/static/framework/widgets/table/table.scss'],14124,MERGED,317527,0,0,0.0,0.0,0
['connection/ssh.py'],2799,MERGED,580128,3,3,3.0,3.0,1
"['oslo/messaging/_drivers/impl_noop.py', 'setup.cfg']",167,ABANDONED,127513,0,0,0.0,0.0,0
['taskflow/listeners/logging.py'],1297,MERGED,149106,0,0,0.0,0.0,0
['templates/control_plane_test_stop.sh.j2'],31291,NEW,892279,0,0,0.0,0.0,0
['.gitreview'],22816,MERGED,489223,0,0,0.0,0.0,0
"['templates/default/keystone.conf.erb', 'spec/spec_helper.rb', 'attributes/default.rb', 'spec/server_spec.rb', 'recipes/server.rb']",5371,MERGED,71718,0,0,0.0,0.0,0
['doc/source/conf.py'],15685,ABANDONED,584982,0,0,0.0,0.0,0
"['openstack_dashboard/conf/nova_policy.json', 'openstack_dashboard/dashboards/project/instances/templates/instances/_detail_overview.html', 'openstack_dashboard/api/_nova.py']",1736,MERGED,721992,0,1,0.0,0.333333333,1
['.zuul.yaml'],8833,MERGED,550716,1,1,1.0,1.0,1
['magnum_ui/locale/en_GB/LC_MESSAGES/djangojs.po'],11131,MERGED,607834,0,0,0.0,0.0,0
['tox.ini'],9592,MERGED,716829,1,1,1.0,1.0,1
['etc/openstack_deploy/openstack_user_config.yml.example'],16237,MERGED,225588,0,0,0.0,0.0,0
['.zuul.yaml'],2472,MERGED,597653,4,4,4.0,4.0,1
"['designate/policy.py', 'designate/coordination.py', 'designate/service.py', 'designate/dnsutils.py', 'designate/utils.py', 'designate/context.py', 'designate/metrics.py', 'designate/notifications.py']",26072,ABANDONED,468814,0,2,0.0,0.375,2
['test-requirements.txt'],11131,MERGED,494852,8,8,8.0,8.0,1
"['releasenotes/notes/deprecate-baremetal-filters-618249af65115bf6.yaml', 'nova/scheduler/filters/exact_core_filter.py', 'nova/scheduler/filters/exact_ram_filter.py', 'nova/conf/scheduler.py', 'nova/scheduler/filters/exact_disk_filter.py']",10239,MERGED,492563,0,1,0.0,0.2,1
"['keystone/tests/unit/default_fixtures.py', 'keystone/tests/unit/test_v2_controller.py', 'keystone/common/controller.py', 'keystone/resource/backends/sql.py', 'keystone/resource/backends/base.py', 'keystone/tests/unit/resource/test_core.py', 'keystone/tests/unit/core.py', 'keystone/tests/unit/test_backend_sql.py', 'keystone/tests/unit/test_sql_upgrade.py']",21420,MERGED,499726,0,6,1.0,1.888888889,7
"['tests/test_keystone.py', 'tests/clients.py']",1004,MERGED,454333,0,0,0.0,0.0,0
['README.rst'],2472,MERGED,175946,0,0,0.0,0.0,0
['designateclient/v2/cli/zones.py'],31664,NEW,917433,2,2,2.0,2.0,1
['lib/puppet/type/glance_image.rb'],15197,MERGED,514347,0,0,0.0,0.0,0
['zun/db/sqlalchemy/alembic/versions/1192ba19a6e9_add_cpu_workdir_ports_hostname_labels_.py'],11536,MERGED,433336,0,0,0.0,0.0,0
