changed_files,owner_account_id,status,number,min_num_mod_file_dep_cha,max_num_mod_file_dep_cha,median_num_mod_file_dep_cha,mean_num_mod_file_dep_cha,num_mod_file_dep_cha
"['manila/scheduler/utils.py', 'manila/tests/api/v1/test_scheduler_stats.py', 'manila_tempest_tests/config.py', 'manila/api/v1/scheduler_stats.py', 'manila/api/openstack/api_version_request.py', 'manila/api/openstack/rest_api_version_history.rst', 'manila/scheduler/host_manager.py', 'manila/tests/scheduler/test_host_manager.py', 'releasenotes/notes/add_share_type_filter_to_pool_list_api-267614b4d93j12de.yaml', 'manila/scheduler/filters/capabilities.py']",15100,MERGED,365617,0,9,1.5,2.7,6
"['tools/roles-data-generate.py', 'tools/process-templates.py', 'network/endpoints/build_endpoint_map.py', 'tox.ini']",9816,MERGED,679240,0,10,3.0,4.0,3
['nova/virt/images.py'],2750,MERGED,408668,3,3,3.0,3.0,1
['.gitreview'],333,MERGED,172276,0,0,0.0,0.0,0
"['congress/datasources/glancev2_driver.py', 'congress/datasources/benchmark_driver.py', 'tox.ini', 'congress/tests/test_benchmark_updates.py']",4491,MERGED,138649,0,0,0.0,0.0,0
['networking_bagpipe_l2/agent/bagpipe_bgp_agent.py'],12021,MERGED,190672,0,0,0.0,0.0,0
"['files/apache-gnocchi.template', 'lib/ceilometer', 'lib/gnocchi', 'stackrc', 'stack.sh']",2813,ABANDONED,122349,0,0,0.0,0.0,0
['tox.ini'],20182,MERGED,579821,2,2,2.0,2.0,1
['doc/source/configuration.rst'],14101,MERGED,241907,1,1,1.0,1.0,1
['doc/glossary/locale/ja.po'],11131,MERGED,130976,0,0,0.0,0.0,0
"['releasenotes/source/index.rst', 'releasenotes/source/rocky.rst']",22816,MERGED,594260,0,0,0.0,0.0,0
['doc/admin-guide-cloud/source/blockstorage_backup_disks.rst'],17958,MERGED,299111,0,0,0.0,0.0,0
['tripleo_common/actions/parameters.py'],22865,MERGED,698623,15,15,15.0,15.0,1
"['openstackclient/image/client.py', 'openstackclient/image/v1/image.py', 'openstackclient/image/v2/image.py']",20099,MERGED,318455,1,5,1.0,2.333333333,3
"['releasenotes/notes/.placeholder', 'releasenotes/source/unreleased.rst', 'releasenotes/source/_static/.placeholder', 'zuul.d/project.yaml', 'releasenotes/source/_templates/.placeholder', 'releasenotes/source/index.rst', 'tox.ini', 'releasenotes/source/conf.py']",26340,MERGED,704126,0,0,0.0,0.0,0
"['neutron/plugins/nicira/NeutronPlugin.py', 'neutron/tests/unit/nicira/test_nicira_plugin.py']",748,MERGED,53660,0,0,0.0,0.0,0
['swift/obj/replicator.py'],15513,NEW,550457,0,0,0.0,0.0,0
['tests/roles/bootstrap-host/templates/user_variables_octavia.yml.j2'],28619,MERGED,866335,12,12,12.0,12.0,1
['.zuul.yaml'],9816,MERGED,798221,6,6,6.0,6.0,1
"['heatclient/v1/actions.py', 'heatclient/v1/shell.py']",8289,MERGED,122934,0,0,0.0,0.0,0
"['keystoneclient/tests/v3/test_access.py', 'keystoneclient/fixture/v3.py', 'keystoneclient/access.py']",7191,MERGED,100776,0,0,0.0,0.0,0
