changed_files,owner_account_id,status,number,min_num_mod_file_dep_cha,max_num_mod_file_dep_cha,median_num_mod_file_dep_cha,mean_num_mod_file_dep_cha,num_mod_file_dep_cha
['requirements.txt'],15178,MERGED,319743,0,0,0.0,0.0,0
['sahara_tests/scenario/defaults/cdh-5.7.0.yaml.mako'],19372,MERGED,331640,0,0,0.0,0.0,0
"['toci_gate_test-oooq.sh', 'toci_quickstart.sh', 'scripts/oooq_common_functions.sh']",10969,ABANDONED,565740,0,39,11.0,16.66666667,2
"['releasenotes/notes/skip-hypervisor-version-check-on-lm-a87f2dcb4f8bf0f2.yaml', 'nova/conductor/tasks/live_migrate.py', 'nova/conf/workarounds.py', 'nova/tests/unit/conductor/tasks/test_live_migrate.py']",6962,NEW,851224,0,7,1.0,2.25,3
['openstack/os-apply-config/os-apply-config.spec.j2'],7102,MERGED,684264,0,0,0.0,0.0,0
"['hooks/hooks.py', 'hooks/utils.py', 'templates/rgw.conf', 'unit_tests/test_ceph_radosgw_context.py', 'templates/rgw', 'unit_tests/test_hooks.py', 'hooks/ceph_radosgw_context.py', 'templates/ceph.conf', 'templates/ports.conf', 'config.yaml']",935,MERGED,421866,0,0,0.0,0.0,0
['nova/tests/unit/api/openstack/compute/test_migrate_server.py'],18339,ABANDONED,437272,1,1,1.0,1.0,1
['tox.ini'],28522,MERGED,761357,2,2,2.0,2.0,1
"['puppet/services/neutron-ovs-agent.yaml', 'releasenotes/notes/bug-1794268-0f875aa640b4246e.yaml']",11082,MERGED,609935,1,10,5.5,5.5,2
"['muranodashboard/tests/unit/catalog/test_views.py', 'muranodashboard/catalog/views.py']",26101,MERGED,472386,0,4,2.0,2.0,1
"['neutron_lib/api/definitions/__init__.py', 'neutron_lib/constants.py', 'neutron_lib/api/definitions/cascade_delete.py']",34728,ABANDONED,849040,0,19,11.0,10.0,2
['reference/projects.yaml'],12393,MERGED,527119,339,339,339.0,339.0,1
"['tripleo_common/tests/image/test_image_uploader.py', 'tripleo_common/image/image_uploader.py']",14985,MERGED,713918,15,30,22.5,22.5,2
"['rally/deploy/engines/existing.py', 'doc/samples/deployments/devstack-in-existing-servers.json', 'doc/samples/deployments/devstack-in-openstack.json', 'doc/samples/deployments/devstack-lxc-engine-in-dummy.json', 'rally/deploy/engines/lxc.py', 'rally/orchestrator/api.py', 'doc/samples/deployments/existing.json', 'tests/deploy/engines/test_existing.py', 'rally/deploy/engines/devstack.py', 'doc/samples/deployments/devstack-lxc-engine-in-dummy.rst', 'tests/deploy/test_lxc.py', 'tests/cmd/commands/test_deployment.py', 'tests/deploy/engines/test_devstack.py', 'tests/orchestrator/test_api.py', 'rally/cmd/commands/deployment.py', 'rally/deploy/engines/multihost.py', 'doc/samples/deployments/devstack-in-lxc.json', 'doc/samples/deployments/multihost.json']",8840,MERGED,88493,0,0,0.0,0.0,0
['masakari/db/sqlalchemy/api.py'],20191,MERGED,362150,0,0,0.0,0.0,0
"['releasenotes/notes/coordination-aee30fff3b537d61.yaml', 'spec/classes/aodh_coordination_spec.rb', 'manifests/coordination.pp', 'spec/classes/aodh_evaluator_spec.rb', 'manifests/evaluator.pp']",9816,MERGED,792001,0,2,0.0,0.6,2
"['api-ref/src/docbkx/ch_telemetry-v2.xml', 'api-ref/src/wadls/telemetry-api/src/v2/os-telemetry-api-2.0.wadl']",6676,MERGED,75012,0,0,0.0,0.0,0
"['tools/tox_install.sh', 'tox.ini']",6547,MERGED,361755,2,9,5.5,5.5,2
['openstack_dashboard/locale/fr/LC_MESSAGES/django.po'],11131,MERGED,592893,0,0,0.0,0.0,0
"['doc/source/command-objects/server.rst', 'releasenotes/notes/allow-to-add-remove-vm-ports-273593d7cc1982de.yaml', 'setup.cfg', 'openstackclient/tests/unit/compute/v2/test_server.py', 'openstackclient/compute/v2/server.py']",8124,MERGED,452328,0,16,1.0,4.2,4
"['cinder/db/sqlalchemy/api.py', 'cinder/db/sqlalchemy/models.py']",24729,ABANDONED,554229,5,11,8.0,8.0,2
['reference/programs.yaml'],5638,MERGED,76602,0,0,0.0,0.0,0
"['neutron/api/v2/attributes.py', 'neutron/tests/unit/api/v2/test_attributes.py', 'neutron/extensions/metering.py']",1653,ABANDONED,249205,0,1,0.0,0.333333333,1
"['savanna/db_new/sqlalchemy/models.py', 'savanna/db_new/sqlalchemy/model_base.py', 'savanna/tests/unit/db_new/conductor_api/base.py', 'savanna/tests/unit/db_new/conductor_api/__init__.py', 'savanna/db_new/api.py', 'savanna/tests/unit/db_new/__init__.py', 'savanna/tests/unit/db_new/conductor_api/test_templates.py', 'savanna/db_new/base.py']",7132,MERGED,40391,0,0,0.0,0.0,0
"['nova/db/sqlalchemy/models.py', 'nova/db/sqlalchemy/types.py', 'nova/db/sqlalchemy/migrate_repo/versions/157_add_security_group_default_rules.py', 'nova/db/sqlalchemy/migrate_repo/versions/133_folsom.py']",475,ABANDONED,53464,0,0,0.0,0.0,0
"['keystone/tests/core.py', 'keystone/tests/test_wsgi.py', 'keystone/middleware/core.py', 'keystone/common/wsgi.py']",7191,MERGED,71494,0,0,0.0,0.0,0
"['sahara/service/volumes.py', 'etc/sahara/sahara.conf.sample', 'sahara/utils/openstack/cinder.py']",12561,MERGED,123068,0,0,0.0,0.0,0
"['heat/engine/resources/openstack/mistral/workflow.py', 'heat/tests/openstack/mistral/test_workflow.py']",7385,MERGED,467643,1,4,2.5,2.5,2
"['src/tests/bundles/overlays/local-charm-overlay.yaml.j2', 'src/tests/bundles/overlays/bionic-ussuri.yaml.j2', 'src/tests/bundles/overlays/focal-ussuri.yaml.j2', 'src/tests/bundles/overlays/focal-victoria.yaml.j2', 'src/tests/bundles/overlays/bionic-train.yaml.j2', 'src/tests/bundles/overlays/groovy-victoria.yaml.j2']",31289,MERGED,806699,1,1,1.0,1.0,6
['doc/source/drivers/ilo.rst'],11076,MERGED,216528,1,1,1.0,1.0,1
['tripleoclient/workflows/parameters.py'],8367,MERGED,711480,13,13,13.0,13.0,1
"['magnum/tests/unit/api/controllers/v1/test_bay.py', 'magnum/api/attr_validator.py', 'magnum/tests/unit/api/test_attr_validator.py']",10515,MERGED,251428,0,0,0.0,0.0,0
"['nova/api/openstack/wsgi.py', 'tests-py3.txt', 'nova/tests/unit/api/openstack/test_wsgi.py', 'nova/utils.py']",9545,MERGED,231076,0,4,1.5,1.75,3
"['ansible/roles/ironic/tasks/bootstrap_service.yml', 'ansible/roles/ironic/tasks/reconfigure.yml', 'ansible/roles/ironic/tasks/bootstrap.yml', 'ansible/roles/ironic/tasks/pull.yml', 'ansible/roles/ironic/tasks/start.yml', 'ansible/roles/ironic/tasks/config.yml', 'ansible/roles/ironic/templates/ironic-pxe.json.j2']",14826,MERGED,436929,0,1,0.0,0.285714286,2
['playbooks/haproxy-install.yml'],17799,MERGED,428787,2,2,2.0,2.0,1
"['tests/bundles/focal-ussuri.yaml', 'tests/bundles/xenial-ocata.yaml', '.gitreview', 'test-requirements.txt', 'tests/bundles/bionic-ussuri.yaml', 'tests/bundles/xenial-mitaka.yaml', 'tests/bundles/xenial-queens.yaml', 'charm-helpers-hooks.yaml', 'tests/bundles/bionic-stein.yaml', 'tests/bundles/groovy-victoria.yaml', 'tests/bundles/xenial-pike.yaml', 'tests/bundles/bionic-rocky.yaml', 'tests/bundles/bionic-train.yaml', 'tests/bundles/trusty-mitaka.yaml', 'tests/bundles/focal-xena.yaml', 'tests/bundles/bionic-queens.yaml', 'tests/bundles/focal-victoria.yaml', 'tests/bundles/hirsute-wallaby.yaml', 'tests/bundles/focal-wallaby.yaml', 'tests/bundles/impish-xena.yaml']",20870,MERGED,813511,0,1,0.0,0.2,4
['.zuul.yaml'],2472,MERGED,595699,0,0,0.0,0.0,0
"['tasks/main.yml', 'tasks/mq_setup.yml']",6816,MERGED,589480,0,10,5.0,5.0,1
['candidates/mitaka/Heat/Sergey_Kraynev.txt'],6577,MERGED,223008,0,0,0.0,0.0,0
"['spec/classes/neutron_plugins_ml2_spec.rb', 'manifests/plugins/ml2.pp']",9415,MERGED,67004,0,0,0.0,0.0,0
"['keystoneclient/v2_0/client.py', 'keystoneclient/v3/client.py', 'keystoneclient/client.py']",7191,MERGED,37626,0,0,0.0,0.0,0
"['doc/source/authentication-plugins.rst', 'doc/source/using-sessions.rst']",6486,MERGED,286815,0,0,0.0,0.0,0
['doc/source/upgrade.rst'],6854,MERGED,252186,0,0,0.0,0.0,0
['tempest/api/identity/admin/v3/test_tokens.py'],6486,ABANDONED,111133,0,0,0.0,0.0,0
['other-requirements.txt'],4608,MERGED,341680,0,0,0.0,0.0,0
['vars/redhat.yml'],538,MERGED,496376,1,1,1.0,1.0,1
['test-requirements.txt'],11131,MERGED,477919,1,1,1.0,1.0,1
['api-ref/source/parameters.yaml'],8556,MERGED,480162,3,3,3.0,3.0,1
['reference/sigs-repos.yaml'],20676,MERGED,815318,12,12,12.0,12.0,1
['vars/debian.yml'],28619,MERGED,748128,5,5,5.0,5.0,1
"['playbooks/publish/zuul-afs.yaml', 'zuul.d/zuul-jobs.yaml']",1,MERGED,555377,0,0,0.0,0.0,0
['plugindocs/fuel-plugin-sdk-guide/create-plugin/plugin-node-roles/modify-ui-wizard.rst'],14962,MERGED,381941,0,0,0.0,0.0,0
['handlers/main.yml'],10873,MERGED,525103,0,0,0.0,0.0,0
['manifests/profile/base/octavia/provider/ovn.pp'],29244,MERGED,848625,3,3,3.0,3.0,1
['zuul.d/projects.yaml'],8556,ABANDONED,843187,23,23,23.0,23.0,1
"['src/charm.py', 'tox.ini']",31289,ABANDONED,823972,0,0,0.0,0.0,0
['oslo_messaging/notify/notifier.py'],16476,MERGED,355053,1,1,1.0,1.0,1
['charmhelpers/contrib/openstack/utils.py'],7118,MERGED,646248,0,0,0.0,0.0,0
"['specs/queens/token-session-in-zaqar.rst', 'specs/queens/index.rst']",8846,ABANDONED,519005,0,0,0.0,0.0,0
['.zuul.yaml'],16222,MERGED,589928,9,9,9.0,9.0,1
['doc/training-guides/associate-guide/ch_associate-controller-node-quiz.xml'],11889,MERGED,131289,0,0,0.0,0.0,0
